GEOID,NAME,N_tot,N_hisp,N_wh,N_aa,N_am,N_as,N_oth,Pct_hisp,Pct_wh,Pct_aa,Pct_am,Pct_as,Pct_oth
08001007801,"Census Tract 78.01, Adams County, Colorado",4137,1902,610,487,0,990,148,0.45975344452501815,0.14744984288131496,0.11771815325114818,0,0.23930384336475707,0.03577471597776166
08001007802,"Census Tract 78.02, Adams County, Colorado",4664,2658,630,852,49,316,159,0.5698970840480274,0.1350771869639794,0.18267581475128644,0.010506003430531732,0.06775300171526587,0.03409090909090909
08001007900,"Census Tract 79, Adams County, Colorado",5684,3138,1286,817,60,119,264,0.5520760028149191,0.2262491203377903,0.14373680506685432,0.01055594651653765,0.020935960591133004,0.04644616467276566
08001008000,"Census Tract 80, Adams County, Colorado",6241,3253,1344,893,119,344,288,0.5212305720237141,0.21535010414997596,0.14308604390322063,0.01906745713827912,0.05511937189552956,0.046146450889280564
08001008100,"Census Tract 81, Adams County, Colorado",1525,348,882,47,16,149,83,0.22819672131147542,0.5783606557377049,0.03081967213114754,0.010491803278688525,0.09770491803278689,0.05442622950819672
08001008200,"Census Tract 82, Adams County, Colorado",6133,2559,1930,991,7,236,410,0.4172509375509539,0.31469101581607695,0.16158486874286646,0.0011413663786075331,0.03848035219305397,0.06685145931844122
08001008308,"Census Tract 83.08, Adams County, Colorado",5545,2447,1439,940,121,574,24,0.4412984670874662,0.25951307484220015,0.16952209197475204,0.021821460775473398,0.10351668169522092,0.004328223624887286
08001008309,"Census Tract 83.09, Adams County, Colorado",4098,2779,693,464,0,143,19,0.6781356759394827,0.16910688140556368,0.11322596388482187,0,0.03489507076622743,0.004636408003904344
08001008353,"Census Tract 83.53, Adams County, Colorado",7907,3057,2852,1101,28,585,284,0.38661945111926144,0.3606930567851271,0.13924370810674086,0.0035411660553939547,0.07398507651448084,0.03591754141899583
08001008401,"Census Tract 84.01, Adams County, Colorado",4710,725,3781,25,61,34,84,0.15392781316348195,0.8027600849256901,0.005307855626326964,0.012951167728237793,0.007218683651804671,0.017834394904458598
08001008402,"Census Tract 84.02, Adams County, Colorado",4894,456,4306,0,4,0,128,0.09317531671434409,0.879852881078872,0,8.173273395995096e-4,0,0.026154474867184307
08001008505,"Census Tract 85.05, Adams County, Colorado",7271,2277,4874,0,59,0,61,0.31316187594553707,0.6703342043735387,0,0.008114427176454407,0,0.008389492504469812
08001008506,"Census Tract 85.06, Adams County, Colorado",6914,2346,3842,295,88,252,91,0.3393115417992479,0.5556841191784785,0.042667052357535436,0.012727798669366503,0.03644778709864044,0.01316170089673127
08001008507,"Census Tract 85.07, Adams County, Colorado",6704,2544,3928,98,18,9,107,0.3794749403341289,0.5859188544152745,0.014618138424821002,0.0026849642004773268,0.0013424821002386634,0.015960620525059664
08001008508,"Census Tract 85.08, Adams County, Colorado",5896,1508,3928,44,28,242,146,0.25576662143826323,0.666214382632293,0.007462686567164179,0.0047489823609226595,0.041044776119402986,0.024762550881953865
08001008523,"Census Tract 85.23, Adams County, Colorado",8345,1991,5983,54,15,82,220,0.23858597962852007,0.716956261234272,0.0064709406830437384,0.0017974835230677051,0.009826243259436788,0.026363091671659677
08001008524,"Census Tract 85.24, Adams County, Colorado",8378,1523,5952,259,16,331,297,0.18178562902840772,0.7104320840296013,0.030914299355454762,0.0019097636667462401,0.03950823585581284,0.03544998806397708
08001008526,"Census Tract 85.26, Adams County, Colorado",6978,1033,5039,106,0,651,149,0.14803668672972198,0.7221266838635713,0.015190599025508742,0,0.09329320722269992,0.021352823158498138
08001008529,"Census Tract 85.29, Adams County, Colorado",7235,1985,4690,294,0,130,136,0.27436074637180374,0.6482377332411887,0.04063579820317899,0,0.01796821008984105,0.01879751209398756
08001008533,"Census Tract 85.33, Adams County, Colorado",8186,2666,4771,160,29,435,125,0.3256779868067432,0.5828243342291718,0.019545565599804544,0.0035426337649645738,0.053139506474468606,0.0152699731248473
08001008534,"Census Tract 85.34, Adams County, Colorado",5058,1748,2952,36,0,87,235,0.34559114274416763,0.5836298932384342,0.0071174377224199285,0,0.01720047449584816,0.04646105179913009
08001008535,"Census Tract 85.35, Adams County, Colorado",3677,1542,1922,51,0,133,29,0.41936361163992386,0.5227087299428882,0.013870002719608376,0,0.03617079140603753,0.007886864291542018
08001008536,"Census Tract 85.36, Adams County, Colorado",3218,875,1986,61,5,92,199,0.2719080174021131,0.6171535114978247,0.018955873213175885,0.0015537600994406464,0.028589185829707892,0.061839651957737725
08001008537,"Census Tract 85.37, Adams County, Colorado",6842,2368,3935,77,29,284,149,0.3460976322712657,0.5751242326805027,0.011254019292604502,0.0042385267465653315,0.04150833089739842,0.021777258111663256
08001008538,"Census Tract 85.38, Adams County, Colorado",7586,1710,5204,247,0,177,248,0.2254152385974163,0.6860005272871078,0.03255997890851569,0,0.02333245452148695,0.03269180068547324
08001008539,"Census Tract 85.39, Adams County, Colorado",10670,3977,5275,375,103,143,797,0.37272727272727274,0.4943767572633552,0.035145267104029994,0.00965323336457357,0.013402061855670102,0.0746954076850984
08001008540,"Census Tract 85.40, Adams County, Colorado",8039,1336,5842,43,85,519,214,0.16618982460505038,0.7267073019032217,0.005348923995521831,0.010573454409752457,0.06456026869013559,0.02662022639631795
08001008541,"Census Tract 85.41, Adams County, Colorado",5795,659,4851,0,29,161,95,0.11371872303710095,0.8371009490940466,0,0.005004314063848145,0.027782571182053493,0.01639344262295082
