county,contact,contact2,housingunits,population,SqMeters
001,Home Delivery Letter - Bilingual,Home Delivery Letter,21329,58909,46967400
001,Home Delivery Letter - English,Home Delivery Letter,122069,328016,2889030000
001,Home Delivery Packet - Bilingual,Home Delivery Packet,19431,53969,54695500
001,Other,Other,0,0,68729500
001,Census Enumerator,Update/Leave,307,709,4722680
003,Home Delivery Letter - English,Home Delivery Letter,4517,10250,1448890000
003,Home Delivery Packet - English,Home Delivery Packet,1814,4756,29568400
003,Census Enumerator,Update/Leave,223,439,393605000
005,Home Delivery Letter - Bilingual,Home Delivery Letter,15113,41054,16259600
005,Home Delivery Letter - English,Home Delivery Letter,213902,510950,840497000
005,Home Delivery Packet - English,Home Delivery Packet,8665,18226,1197140000
005,Census Enumerator,Update/Leave,621,1773,30721100
007,Home Delivery Letter - English,Home Delivery Letter,5976,8549,948563000
007,Other,Other,1,3,9640650
007,Census Enumerator,Update/Leave,2785,3532,2552580000
009,Home Delivery Packet - English,Home Delivery Packet,1442,2483,5330500000
009,Census Enumerator,Update/Leave,806,1305,1295420000
011,Home Delivery Packet - English,Home Delivery Packet,2210,6439,3990000000
011,Census Enumerator,Update/Leave,32,60,1052310
013,Home Delivery Letter - Bilingual,Home Delivery Letter,1696,3831,1291880
013,Home Delivery Letter - English,Home Delivery Letter,122368,286256,1576230000
013,Census Enumerator,Update/Leave,3007,4480,338572000
014,Home Delivery Letter - English,Home Delivery Letter,22377,55487,86394600
014,Other,Other,0,0,515016
014,Census Enumerator,Update/Leave,269,402,44585
015,Home Delivery Letter - English,Home Delivery Letter,7253,12168,2020710000
015,Home Delivery Packet - English,Home Delivery Packet,766,2538,71361800
015,Census Enumerator,Update/Leave,2001,3103,535245000
017,Home Delivery Packet - English,Home Delivery Packet,238,475,3419840000
017,Census Enumerator,Update/Leave,737,1361,1195350000
019,Home Delivery Letter - English,Home Delivery Letter,2851,4795,644194000
019,Census Enumerator,Update/Leave,2834,4293,381900000
021,Home Delivery Packet - English,Home Delivery Packet,1246,2621,1642770000
021,Census Enumerator,Update/Leave,3040,5635,1699030000
023,Home Delivery Packet - Bilingual,Home Delivery Packet,75,86,240349000
023,Home Delivery Packet - English,Home Delivery Packet,235,229,394881000
023,Census Enumerator,Update/Leave,2303,3209,2548970000
025,Home Delivery Packet - English,Home Delivery Packet,1145,5006,2058520000
025,Census Enumerator,Update/Leave,414,817,13260600
027,Home Delivery Letter - English,Home Delivery Letter,2668,3181,1419720000
027,Census Enumerator,Update/Leave,1288,1074,495203000
029,Home Delivery Letter - English,Home Delivery Letter,3890,8321,776981000
029,Home Delivery Packet - English,Home Delivery Packet,9388,20847,1790150000
029,Census Enumerator,Update/Leave,1294,1784,409926000
031,Home Delivery Letter - Bilingual,Home Delivery Letter,28429,83563,35749300
031,Home Delivery Letter - English,Home Delivery Letter,233946,451912,325017000
031,Home Delivery Packet - Bilingual,Home Delivery Packet,17654,54862,27768900
031,Home Delivery Packet - English,Home Delivery Packet,5768,9821,11630300
031,Census Enumerator,Update/Leave,0,0,10187
033,Home Delivery Packet - English,Home Delivery Packet,229,361,769489000
033,Census Enumerator,Update/Leave,1239,1703,2001340000
035,Home Delivery Letter - English,Home Delivery Letter,106640,285120,2027040000
035,Census Enumerator,Update/Leave,219,345,154248000
037,Home Delivery Letter - Bilingual,Home Delivery Letter,1910,2329,544218000
037,Home Delivery Letter - English,Home Delivery Letter,10035,14892,807805000
037,Other,Other,106,113,133063000
037,Census Enumerator,Update/Leave,19261,34863,2895470000
039,Home Delivery Letter - English,Home Delivery Letter,7594,20158,1760490000
039,Home Delivery Packet - English,Home Delivery Packet,627,1307,2672100000
039,Census Enumerator,Update/Leave,718,1621,358399000
041,Home Delivery Letter - Bilingual,Home Delivery Letter,1977,4328,1655520
041,Home Delivery Letter - English,Home Delivery Letter,237346,571406,4930010000
041,Home Delivery Packet - English,Home Delivery Packet,8138,26010,68564600
041,Other,Other,0,0,1218660
041,Census Enumerator,Update/Leave,5391,20519,509987000
043,Home Delivery Letter - English,Home Delivery Letter,9479,18029,2369150000
043,Home Delivery Packet - English,Home Delivery Packet,8654,27201,659746000
043,Census Enumerator,Update/Leave,1109,1594,941033000
