CType2,TRACTGEOID,COUNTYFP10,TRACTCE10,SUM_HOUSING10,SUM_POP10,HDL,HDP,UL
Other,08001008538,001,008538,0,0,0,0,0
Other,08001988700,001,988700,0,0,0,0,0
Other,08007940400,007,940400,1,3,0,0,0
Other,08014980100,014,980100,0,0,0,0,0
Other,08014980200,014,980200,0,0,0,0,0
Other,08014980300,014,980300,0,0,0,0,0
Other,08037000501,037,000501,106,113,0,0,0
Other,08037000502,037,000502,0,0,0,0,0
Other,08037000600,037,000600,0,0,0,0,0
Other,08037000703,037,000703,0,0,0,0,0
Other,08041004401,041,004401,0,0,0,0,0
Other,08041004402,041,004402,0,0,0,0,0
Other,08059980000,059,980000,0,0,0,0,0
Other,08067940300,067,940300,0,0,0,0,0
Other,08067940400,067,940400,3,9,0,0,0
Other,08101980100,101,980100,0,0,0,0,0
Other,08107000200,107,000200,12,40,0,0,0
Other,08113968101,113,968101,2,3,0,0,0
Other,08113968103,113,968103,0,0,0,0,0
Home Delivery Packet - English,08003960300,003,960300,1814,4756,0,1,0
Home Delivery Packet - English,08005007101,005,007101,1775,4578,0,1,0
Home Delivery Packet - English,08005007103,005,007103,0,0,0,1,0
Home Delivery Packet - English,08005080100,005,080100,1980,4277,0,1,0
Home Delivery Packet - English,08005081500,005,081500,2425,3039,0,1,0
Home Delivery Packet - English,08005081900,005,081900,2485,6332,0,1,0
Home Delivery Packet - English,08009964600,009,964600,384,586,0,1,0
Home Delivery Packet - English,08009964700,009,964700,1058,1897,0,1,0
Home Delivery Packet - English,08011966700,011,966700,2210,6439,0,1,0
Home Delivery Packet - English,08015000402,015,000402,766,2538,0,1,0
Home Delivery Packet - English,08017960600,017,960600,238,475,0,1,0
Home Delivery Packet - English,08021974800,021,974800,251,639,0,1,0
Home Delivery Packet - English,08021974900,021,974900,995,1982,0,1,0
Home Delivery Packet - English,08023972600,023,972600,232,229,0,1,0
Home Delivery Packet - English,08023972700,023,972700,3,0,0,1,0
Home Delivery Packet - English,08025969600,025,969600,1145,5006,0,1,0
Home Delivery Packet - English,08029964600,029,964600,1521,3018,0,1,0
Home Delivery Packet - English,08029964700,029,964700,1870,4010,0,1,0
Home Delivery Packet - English,08029964800,029,964800,1300,3493,0,1,0
Home Delivery Packet - English,08029964900,029,964900,2312,5805,0,1,0
Home Delivery Packet - English,08029965100,029,965100,23,59,0,1,0
Home Delivery Packet - English,08029965200,029,965200,2362,4462,0,1,0
Home Delivery Packet - English,08031000800,031,000800,474,1448,0,1,0
Home Delivery Packet - English,08031004101,031,004101,1508,3648,0,1,0
Home Delivery Packet - English,08031007089,031,007089,3786,4725,0,1,0
Home Delivery Packet - English,08031980100,031,980100,0,0,0,1,0
Home Delivery Packet - English,08033000100,033,000100,229,361,0,1,0
Home Delivery Packet - English,08039961100,039,961100,627,1307,0,1,0
Home Delivery Packet - English,08041002102,041,002102,1976,4820,0,1,0
Home Delivery Packet - English,08041002800,041,002800,0,0,0,1,0
Home Delivery Packet - English,08041002900,041,002900,2867,5902,0,1,0
Home Delivery Packet - English,08041003303,041,003303,0,0,0,1,0
Home Delivery Packet - English,08041003802,041,003802,1,4486,0,1,0
Home Delivery Packet - English,08041004100,041,004100,0,0,0,1,0
Home Delivery Packet - English,08041004501,041,004501,1572,6348,0,1,0
Home Delivery Packet - English,08041006100,041,006100,1722,4454,0,1,0
Home Delivery Packet - English,08043978100,043,978100,1930,4385,0,1,0
Home Delivery Packet - English,08043978200,043,978200,0,0,0,1,0
Home Delivery Packet - English,08043978300,043,978300,2524,5626,0,1,0
Home Delivery Packet - English,08043978500,043,978500,2633,5902,0,1,0
Home Delivery Packet - English,08043979100,043,979100,1567,3342,0,1,0
Home Delivery Packet - English,08043979400,043,979400,0,0,0,1,0
Home Delivery Packet - English,08043980100,043,980100,0,945,0,1,0
Home Delivery Packet - English,08043980200,043,980200,0,3085,0,1,0
Home Delivery Packet - English,08043980300,043,980300,0,3916,0,1,0
Home Delivery Packet - English,08055960600,055,960600,1762,3094,0,1,0
Home Delivery Packet - English,08057955600,057,955600,170,97,0,1,0
Home Delivery Packet - English,08059010211,059,010211,1457,3093,0,1,0
Home Delivery Packet - English,08059980400,059,980400,0,1128,0,1,0
Home Delivery Packet - English,08061960100,061,960100,432,785,0,1,0
Home Delivery Packet - English,08063962200,063,962200,552,1193,0,1,0
Home Delivery Packet - English,08069001903,069,001903,0,0,0,1,0
Home Delivery Packet - English,08069002803,069,002803,35,15,0,1,0
Home Delivery Packet - English,08071000100,071,000100,1472,2955,0,1,0
Home Delivery Packet - English,08071000300,071,000300,1081,1666,0,1,0
Home Delivery Packet - English,08071000400,071,000400,1145,2273,0,1,0
Home Delivery Packet - English,08071000500,071,000500,985,1972,0,1,0
Home Delivery Packet - English,08071000800,071,000800,884,2311,0,1,0
Home Delivery Packet - English,08073961800,073,961800,679,1306,0,1,0
Home Delivery Packet - English,08075965900,075,965900,374,724,0,1,0
Home Delivery Packet - English,08075966000,075,966000,643,1466,0,1,0
Home Delivery Packet - English,08075966300,075,966300,1879,3797,0,1,0
Home Delivery Packet - English,08077001001,077,001001,2386,4764,0,1,0
Home Delivery Packet - English,08081000600,081,000600,453,876,0,1,0
Home Delivery Packet - English,08083941100,083,941100,42,87,0,1,0
Home Delivery Packet - English,08085966100,085,966100,17,26,0,1,0
Home Delivery Packet - English,08085966201,085,966201,1179,2898,0,1,0
Home Delivery Packet - English,08085966202,085,966202,1291,3349,0,1,0
