county,NAME,RESP_DATE,CRRALL,CRRINT,DRRALL,DRRINT
001,Adams County,2020-03-20,0.148,0.139,0.025,0.024
003,Alamosa County,2020-03-20,0.139,0.115,0.014,0.013
005,Arapahoe County,2020-03-20,0.169,0.162,0.034,0.034
007,Archuleta County,2020-03-20,0.052,0.051,0.015,0.015
009,Baca County,2020-03-20,0.11,0.032,0.003,0.002
011,Bent County,2020-03-20,0.191,0.057,0.014,0.011
013,Boulder County,2020-03-20,0.174,0.172,0.042,0.042
014,Broomfield County,2020-03-20,0.14,0.139,0.05,0.05
015,Chaffee County,2020-03-20,0.137,0.129,0.029,0.028
017,Cheyenne County,2020-03-20,0.033,0.008,0.001,0.001
019,Clear Creek County,2020-03-20,0.086,0.086,0.009,0.009
021,Conejos County,2020-03-20,0.042,0.013,0.002,0.001
023,Costilla County,2020-03-20,0.014,0.005,0,0
025,Crowley County,2020-03-20,0.145,0.044,0.014,0.005
027,Custer County,2020-03-20,0.048,0.048,0.016,0.016
029,Delta County,2020-03-20,0.13,0.082,0.018,0.015
031,Denver County,2020-03-20,0.166,0.157,0.026,0.025
033,Dolores County,2020-03-20,0.027,0.012,0.003,0.002
035,Douglas County,2020-03-20,0.11,0.109,0.046,0.046
037,Eagle County,2020-03-20,0.026,0.026,0.007,0.007
039,Elbert County,2020-03-20,0.126,0.116,0.046,0.046
041,El Paso County,2020-03-20,0.175,0.17,0.039,0.038
043,Fremont County,2020-03-20,0.203,0.123,0.018,0.017
045,Garfield County,2020-03-20,0.134,0.132,0.032,0.032
047,Gilpin County,2020-03-20,0.071,0.071,0.013,0.013
049,Grand County,2020-03-20,0.004,0.004,0.001,0.001
051,Gunnison County,2020-03-20,0.069,0.068,0.011,0.01
053,Hinsdale County,2020-03-20,0.011,0.011,0,0
055,Huerfano County,2020-03-20,0.077,0.041,0.008,0.007
057,Jackson County,2020-03-20,0.011,0.004,0.001,0.001
059,Jefferson County,2020-03-20,0.16,0.157,0.048,0.048
061,Kiowa County,2020-03-20,0.085,0.03,0.005,0.005
063,Kit Carson County,2020-03-20,0.151,0.13,0.012,0.012
065,Lake County,2020-03-20,0.095,0.093,0.014,0.014
067,La Plata County,2020-03-20,0.092,0.091,0.016,0.016
069,Larimer County,2020-03-20,0.125,0.123,0.034,0.034
071,Las Animas County,2020-03-20,0.111,0.05,0.009,0.007
073,Lincoln County,2020-03-20,0.082,0.04,0.005,0.004
075,Logan County,2020-03-20,0.217,0.152,0.015,0.014
077,Mesa County,2020-03-20,0.166,0.161,0.04,0.04
079,Mineral County,2020-03-20,0.025,0.024,0.005,0.005
081,Moffat County,2020-03-20,0.1,0.095,0.022,0.021
083,Montezuma County,2020-03-20,0.123,0.12,0.027,0.027
085,Montrose County,2020-03-20,0.124,0.102,0.039,0.036
087,Morgan County,2020-03-20,0.167,0.147,0.017,0.016
089,Otero County,2020-03-20,0.181,0.116,0.012,0.012
091,Ouray County,2020-03-20,0.056,0.055,0.024,0.023
093,Park County,2020-03-20,0.039,0.039,0.012,0.011
095,Phillips County,2020-03-20,0.211,0.157,0.019,0.018
097,Pitkin County,2020-03-20,0.049,0.049,0.015,0.015
099,Prowers County,2020-03-20,0.131,0.09,0.013,0.013
101,Pueblo County,2020-03-20,0.18,0.127,0.021,0.02
103,Rio Blanco County,2020-03-20,0.058,0.057,0.017,0.017
105,Rio Grande County,2020-03-20,0.127,0.064,0.014,0.013
107,Routt County,2020-03-20,0.046,0.046,0.009,0.009
109,Saguache County,2020-03-20,0.027,0.01,0.002,0.001
111,San Juan County,2020-03-20,0.01,0.01,0,0
113,San Miguel County,2020-03-20,0.022,0.022,0.004,0.004
115,Sedgwick County,2020-03-20,0.179,0.055,0.007,0.005
117,Summit County,2020-03-20,0.024,0.024,0.005,0.005
119,Teller County,2020-03-20,0.1,0.099,0.031,0.031
121,Washington County,2020-03-20,0.182,0.059,0.008,0.008
123,Weld County,2020-03-20,0.129,0.119,0.027,0.026
125,Yuma County,2020-03-20,0.196,0.068,0.008,0.008
001,Adams County,2020-03-21,0.168,0.158,0.02,0.018
003,Alamosa County,2020-03-21,0.154,0.125,0.015,0.01
005,Arapahoe County,2020-03-21,0.194,0.186,0.025,0.024
007,Archuleta County,2020-03-21,0.064,0.063,0.012,0.012
009,Baca County,2020-03-21,0.13,0.036,0.02,0.004
011,Bent County,2020-03-21,0.22,0.061,0.029,0.004
013,Boulder County,2020-03-21,0.202,0.201,0.029,0.028
014,Broomfield County,2020-03-21,0.174,0.173,0.035,0.034
015,Chaffee County,2020-03-21,0.161,0.151,0.024,0.023
017,Cheyenne County,2020-03-21,0.046,0.01,0.013,0.002
019,Clear Creek County,2020-03-21,0.096,0.095,0.009,0.009
021,Conejos County,2020-03-21,0.049,0.014,0.007,0.001
023,Costilla County,2020-03-21,0.016,0.006,0.002,0.001
025,Crowley County,2020-03-21,0.178,0.047,0.034,0.003
027,Custer County,2020-03-21,0.06,0.059,0.011,0.011
029,Delta County,2020-03-21,0.17,0.092,0.041,0.01
031,Denver County,2020-03-21,0.187,0.176,0.022,0.019
033,Dolores County,2020-03-21,0.027,0.012,0.003,0
035,Douglas County,2020-03-21,0.144,0.144,0.034,0.034
037,Eagle County,2020-03-21,0.032,0.032,0.006,0.006
039,Elbert County,2020-03-21,0.157,0.144,0.031,0.028
041,El Paso County,2020-03-21,0.2,0.194,0.025,0.024
043,Fremont County,2020-03-21,0.235,0.137,0.036,0.014
045,Garfield County,2020-03-21,0.16,0.158,0.026,0.026
047,Gilpin County,2020-03-21,0.081,0.081,0.01,0.01
049,Grand County,2020-03-21,0.004,0.004,0.001,0.001
051,Gunnison County,2020-03-21,0.076,0.075,0.007,0.007
053,Hinsdale County,2020-03-21,0.013,0.013,0.002,0.002
055,Huerfano County,2020-03-21,0.091,0.044,0.015,0.004
057,Jackson County,2020-03-21,0.011,0.004,0,0
059,Jefferson County,2020-03-21,0.191,0.188,0.031,0.031
061,Kiowa County,2020-03-21,0.096,0.032,0.011,0.002
063,Kit Carson County,2020-03-21,0.169,0.141,0.02,0.012
065,Lake County,2020-03-21,0.106,0.103,0.011,0.01
067,La Plata County,2020-03-21,0.111,0.11,0.02,0.02
069,Larimer County,2020-03-21,0.153,0.151,0.029,0.028
071,Las Animas County,2020-03-21,0.135,0.053,0.026,0.004
073,Lincoln County,2020-03-21,0.095,0.043,0.014,0.003
075,Logan County,2020-03-21,0.24,0.164,0.024,0.012
077,Mesa County,2020-03-21,0.194,0.187,0.028,0.026
079,Mineral County,2020-03-21,0.027,0.026,0.002,0.002
081,Moffat County,2020-03-21,0.117,0.111,0.016,0.015
083,Montezuma County,2020-03-21,0.15,0.147,0.027,0.026
085,Montrose County,2020-03-21,0.165,0.128,0.04,0.026
