us,RESP_DATE,NAME,CRRALL,CRRINT,DRRALL,DRRINT
1,2020-03-20,United States,0.141,0.12,0.028,0.026
1,2020-03-21,United States,0.167,0.142,0.027,0.022
1,2020-03-22,United States,0.192,0.161,0.025,0.019
1,2020-03-23,United States,0.21,0.178,0.017,0.017
1,2020-03-24,United States,0.236,0.205,0.027,0.026
1,2020-03-25,United States,0.262,0.227,0.026,0.023
1,2020-03-26,United States,0.281,0.245,0.02,0.018
1,2020-03-27,United States,0.302,0.261,0.021,0.016
1,2020-03-28,United States,0.316,0.275,0.015,0.014
1,2020-03-29,United States,0.331,0.29,0.015,0.015
1,2020-03-30,United States,0.347,0.303,0.016,0.013
1,2020-03-31,United States,0.362,0.318,0.016,0.015
1,2020-04-01,United States,0.384,0.338,0.022,0.019
1,2020-04-02,United States,0.413,0.365,0.029,0.027
1,2020-04-03,United States,0.428,0.379,0.015,0.014
1,2020-04-04,United States,0.439,0.387,0.01,0.008
1,2020-04-05,United States,0.445,0.393,0.007,0.006
1,2020-04-06,United States,0.451,0.399,0.006,0.005
1,2020-04-07,United States,0.457,0.405,0.006,0.006
1,2020-04-08,United States,0.462,0.409,0.005,0.005
1,2020-04-09,United States,0.467,0.413,0.005,0.004
1,2020-04-10,United States,0.471,0.417,0.004,0.003
1,2020-04-11,United States,0.475,0.42,0.004,0.003
1,2020-04-12,United States,0.479,0.422,0.004,0.002
1,2020-04-13,United States,0.481,0.425,0.003,0.002
1,2020-04-14,United States,0.486,0.428,0.005,0.004
1,2020-04-15,United States,0.491,0.431,0.005,0.003
1,2020-04-16,United States,0.494,0.434,0.004,0.003
1,2020-04-17,United States,0.498,0.437,0.004,0.003
1,2020-04-18,United States,0.502,0.439,0.005,0.002
1,2020-04-19,United States,0.505,0.44,0.002,0.002
1,2020-04-20,United States,0.507,0.442,0.003,0.002
1,2020-04-21,United States,0.51,0.444,0.003,0.002
1,2020-04-22,United States,0.516,0.446,0.006,0.002
1,2020-04-23,United States,0.518,0.448,0.003,0.002
1,2020-04-24,United States,0.524,0.45,0.006,0.002
1,2020-04-25,United States,0.528,0.451,0.005,0.002
1,2020-04-26,United States,0.532,0.453,0.004,0.001
1,2020-04-27,United States,0.534,0.454,0.002,0.001
1,2020-04-28,United States,0.537,0.456,0.003,0.002
1,2020-04-29,United States,0.543,0.459,0.006,0.002
1,2020-04-30,United States,0.546,0.461,0.003,0.002
1,2020-05-01,United States,0.556,0.462,0.011,0.002
1,2020-05-02,United States,0.56,0.464,0.004,0.002
1,2020-05-03,United States,0.563,0.466,0.004,0.001
1,2020-05-04,United States,0.566,0.467,0.003,0.001
1,2020-05-05,United States,0.568,0.469,0.003,0.002
1,2020-05-06,United States,0.573,0.471,0.005,0.002
1,2020-05-07,United States,0.577,0.472,0.004,0.001
1,2020-05-08,United States,0.581,0.474,0.004,0.001
1,2020-05-09,United States,0.583,0.475,0.003,0.001
1,2020-05-10,United States,0.585,0.476,0.002,0.001
1,2020-05-11,United States,0.586,0.476,0.001,0.001
1,2020-05-12,United States,0.587,0.477,0.002,0.001
1,2020-05-13,United States,0.59,0.478,0.003,0.001
1,2020-05-14,United States,0.591,0.479,0.002,0.001
1,2020-05-15,United States,0.593,0.48,0.002,0.001
1,2020-05-16,United States,0.594,0.48,0.002,0.001
1,2020-05-17,United States,0.595,0.481,0.001,0
1,2020-05-18,United States,0.596,0.481,0.001,0.001
1,2020-05-19,United States,0.596,0.482,0.001,0.001
1,2020-05-20,United States,0.597,0.482,0.001,0.001
1,2020-05-21,United States,0.598,0.483,0.001,0
1,2020-05-22,United States,0.599,0.483,0.001,0
1,2020-05-23,United States,0.6,0.484,0.001,0
1,2020-05-24,United States,0.6,0.484,0.001,0
1,2020-05-25,United States,0.601,0.484,0,0
1,2020-05-26,United States,0.601,0.484,0,0
1,2020-05-27,United States,0.602,0.485,0.001,0
1,2020-05-28,United States,0.603,0.485,0.001,0
1,2020-05-29,United States,0.603,0.486,0.001,0
1,2020-05-30,United States,0.604,0.486,0.001,0
1,2020-05-31,United States,0.604,0.486,0.001,0
1,2020-06-01,United States,0.605,0.486,0,0
1,2020-06-02,United States,0.605,0.487,0.001,0
1,2020-06-03,United States,0.606,0.487,0.001,0
1,2020-06-04,United States,0.606,0.487,0.001,0
1,2020-06-05,United States,0.607,0.488,0.002,0
1,2020-06-08,United States,0.607,0.488,0,0
1,2020-06-09,United States,0.608,0.489,0.002,0
1,2020-06-10,United States,0.608,0.489,0.002,0
1,2020-06-11,United States,0.609,0.489,0.001,0
1,2020-06-12,United States,0.609,0.489,0,0
1,2020-06-15,United States,0.614,0.491,0,0
1,2020-06-16,United States,0.614,0.491,0,0
1,2020-06-17,United States,0.615,0.491,0.001,0
1,2020-06-18,United States,0.615,0.491,0,0
1,2020-06-19,United States,0.616,0.492,0.001,0
1,2020-06-22,United States,0.616,0.492,0,0
1,2020-06-23,United States,0.616,0.492,0,0
1,2020-06-24,United States,0.617,0.492,0.001,0
1,2020-06-25,United States,0.617,0.493,0,0
