"state","place","NAME","RESP_DATE","CRRALL","CRRINT","DRRALL","DRRINT"
"08","00760","Aguilar town","2020-04-03",0.038,0.038,0.006,0.006
"08","00925","Akron town","2020-04-03",0.511,0.191,0.01,0.003
"08","01090","Alamosa city","2020-04-03",0.335,0.259,0.01,0.008
"08","01530","Alma town","2020-04-03",0.138,0.138,0.02,0.02
"08","02355","Antonito town","2020-04-03",0.053,0.053,0.01,0.01
"08","03235","Arriba town","2020-04-03",0.448,0.112,0.015,0
"08","03455","Arvada city","2020-04-03",0.603,0.588,0.025,0.025
"08","03620","Aspen city","2020-04-03",0.213,0.212,0.011,0.01
"08","03950","Ault town","2020-04-03",0.174,0.171,0.011,0.011
"08","04000","Aurora city","2020-04-03",0.48,0.454,0.018,0.017
"08","04110","Avon town","2020-04-03",0.049,0.049,0.007,0.007
"08","04935","Basalt town","2020-04-03",0.341,0.34,0.022,0.022
"08","05265","Bayfield town","2020-04-03",0.364,0.362,0.023,0.023
"08","06090","Bennett town","2020-04-03",0.411,0.374,0.015,0.015
"08","06255","Berthoud town","2020-04-03",0.516,0.514,0.026,0.026
"08","06530","Bethune town","2020-04-03",0.138,0.138,0.021,0.021
"08","07025","Black Hawk city","2020-04-03",0.045,0.045,0,0
"08","07190","Blanca town","2020-04-03",0.077,0.077,0.027,0.027
"08","07410","Blue River town","2020-04-03",0.163,0.163,0.007,0.007
"08","07571","Bonanza town","2020-04-03",0.048,0.024,0,0
"08","07795","Boone town","2020-04-03",0.056,0.028,0,0
"08","07850","Boulder city","2020-04-03",0.522,0.52,0.019,0.019
"08","08070","Bow Mar town","2020-04-03",0.661,0.661,0.027,0.027
"08","08345","Branson town","2020-04-03",0.132,0.132,0.019,0.019
"08","08400","Breckenridge town","2020-04-03",0.078,0.078,0.004,0.004
"08","08675","Brighton city","2020-04-03",0.422,0.407,0.018,0.017
"08","09115","Brookside town","2020-04-03",0.649,0.27,0.009,0.009
"08","09280","Broomfield city","2020-04-03",0.54,0.537,0.023,0.023
"08","09555","Brush city","2020-04-03",0.395,0.385,0.009,0.009
"08","10105","Buena Vista town","2020-04-03",0.243,0.218,0.013,0.013
"08","10600","Burlington city","2020-04-03",0.369,0.361,0.014,0.013
"08","11260","Calhan town","2020-04-03",0.364,0.362,0.008,0.008
"08","11645","Campo town","2020-04-03",0.047,0.047,0,0
"08","11810","Cañon City city","2020-04-03",0.528,0.339,0.019,0.012
"08","12045","Carbondale town","2020-04-03",0.474,0.473,0.021,0.021
"08","12387","Castle Pines city","2020-04-03",0.592,0.591,0.03,0.029
"08","12415","Castle Rock town","2020-04-03",0.554,0.552,0.025,0.025
"08","12635","Cedaredge town","2020-04-03",0.531,0.183,0.017,0.008
"08","12815","Centennial city","2020-04-03",0.627,0.623,0.027,0.027
"08","12855","Center town","2020-04-03",0.077,0.055,0.007,0.004
"08","12910","Central City city","2020-04-03",0.051,0.051,0.006,0.006
"08","13460","Cheraw town","2020-04-03",0.205,0.196,0,0
"08","13845","Cherry Hills Village city","2020-04-03",0.596,0.595,0.031,0.031
"08","14175","Cheyenne Wells town","2020-04-03",0.056,0.038,0.01,0.01
"08","14765","City of Creede town","2020-04-03",0.107,0.104,0.03,0.027
"08","15330","Coal Creek town","2020-04-03",0.098,0.098,0.011,0.011
"08","15550","Cokedale town","2020-04-03",0.041,0.041,0,0
"08","15605","Collbran town","2020-04-03",0.107,0.107,0.013,0.013
"08","16000","Colorado Springs city","2020-04-03",0.499,0.487,0.019,0.018
"08","16385","Columbine Valley town","2020-04-03",0.616,0.614,0.022,0.022
"08","16495","Commerce City city","2020-04-03",0.468,0.416,0.022,0.02
"08","17375","Cortez city","2020-04-03",0.47,0.464,0.011,0.011
"08","17760","Craig city","2020-04-03",0.377,0.373,0.016,0.015
"08","17925","Crawford town","2020-04-03",0.17,0.161,0.022,0.018
"08","18310","Crested Butte town","2020-04-03",0.11,0.109,0.015,0.015
"08","18420","Crestone town","2020-04-03",0.037,0.037,0,0
"08","18530","Cripple Creek city","2020-04-03",0.043,0.043,0.004,0.004
"08","18640","Crook town","2020-04-03",0.034,0.034,0,0
"08","18750","Crowley town","2020-04-03",0.052,0.031,0,0
"08","19080","Dacono city","2020-04-03",0.477,0.473,0.013,0.013
"08","19355","De Beque town","2020-04-03",0.033,0.033,0,0
"08","19630","Deer Trail town","2020-04-03",0.155,0.082,0.013,0.01
"08","19795","Del Norte town","2020-04-03",0.372,0.133,0.007,0.001
"08","19850","Delta city","2020-04-03",0.485,0.256,0.014,0.007
"08","20000","Denver city","2020-04-03",0.458,0.438,0.017,0.017
"08","20440","Dillon town","2020-04-03",0.058,0.058,0.002,0.002
"08","20495","Dinosaur town","2020-04-03",0.044,0.044,0,0
"08","20770","Dolores town","2020-04-03",0.081,0.08,0.007,0.007
"08","21265","Dove Creek town","2020-04-03",0.043,0.043,0,0
"08","22035","Durango city","2020-04-03",0.439,0.435,0.016,0.016
"08","22145","Eads town","2020-04-03",0.169,0.093,0.006,0.006
"08","22200","Eagle town","2020-04-03",0.152,0.151,0.029,0.029
"08","22860","Eaton town","2020-04-03",0.558,0.553,0.017,0.017
"08","23025","Eckley town","2020-04-03",0.312,0.094,0.014,0.007
"08","23135","Edgewater city","2020-04-03",0.442,0.436,0.018,0.017
"08","23740","Elizabeth town","2020-04-03",0.312,0.312,0.018,0.018
"08","24620","Empire town","2020-04-03",0.08,0.08,0,0
"08","24785","Englewood city","2020-04-03",0.477,0.471,0.015,0.015
"08","24950","Erie town","2020-04-03",0.582,0.581,0.027,0.026
"08","25115","Estes Park town","2020-04-03",0.322,0.319,0.01,0.01
"08","25280","Evans city","2020-04-03",0.403,0.399,0.016,0.016
"08","25610","Fairplay town","2020-04-03",0.084,0.084,0.01,0.01
"08","26270","Federal Heights city","2020-04-03",0.365,0.275,0.014,0.013
"08","26600","Firestone town","2020-04-03",0.444,0.444,0.017,0.017
"08","26765","Flagler town","2020-04-03",0.22,0.218,0.011,0.011
"08","26875","Fleming town","2020-04-03",0.221,0.212,0.018,0.018
"08","27040","Florence city","2020-04-03",0.42,0.409,0.015,0.015
"08","27425","Fort Collins city","2020-04-03",0.507,0.502,0.02,0.02
"08","27700","Fort Lupton city","2020-04-03",0.435,0.366,0.014,0.011
"08","27810","Fort Morgan city","2020-04-03",0.423,0.413,0.015,0.014
"08","27865","Fountain city","2020-04-03",0.451,0.442,0.014,0.014
"08","27975","Fowler town","2020-04-03",0.5,0.146,0.013,0.005
"08","28105","Foxfield town","2020-04-03",0.705,0.698,0.011,0.011
"08","28305","Fraser town","2020-04-03",0.074,0.074,0.016,0.016
"08","28360","Frederick town","2020-04-03",0.528,0.526,0.025,0.025
"08","28690","Frisco town","2020-04-03",0.107,0.107,0.007,0.007
"08","28745","Fruita city","2020-04-03",0.517,0.512,0.016,0.016
"08","29185","Garden City town","2020-04-03",0.246,0.216,0.007,0.007
"08","29680","Genoa town","2020-04-03",0.054,0.054,0,0
"08","29735","Georgetown town","2020-04-03",0.172,0.171,0.004,0.004
"08","29955","Gilcrest town","2020-04-03",0.107,0.107,0.016,0.016
"08","30340","Glendale city","2020-04-03",0.38,0.377,0.014,0.013
"08","30780","Glenwood Springs city","2020-04-03",0.409,0.404,0.017,0.017
"08","30835","Golden city","2020-04-03",0.559,0.556,0.02,0.019
"08","31550","Granada town","2020-04-03",0.053,0.053,0,0
"08","31605","Granby town","2020-04-03",0.082,0.082,0.011,0.011
"08","31660","Grand Junction city","2020-04-03",0.502,0.465,0.017,0.016
"08","31715","Grand Lake town","2020-04-03",0.021,0.021,0.004,0.004
"08","32155","Greeley city","2020-04-03",0.419,0.395,0.014,0.014
"08","32650","Green Mountain Falls town","2020-04-03",0.059,0.059,0.003,0.003
"08","33035","Greenwood Village city","2020-04-03",0.55,0.547,0.019,0.019
"08","33310","Grover town","2020-04-03",0.09,0.09,0.018,0.018
"08","33640","Gunnison city","2020-04-03",0.417,0.416,0.017,0.017
"08","33695","Gypsum town","2020-04-03",0.111,0.111,0.013,0.012
"08","34520","Hartman town","2020-04-03",0,0,0,0
"08","34740","Haswell town","2020-04-03",0.071,0.048,0,0
"08","34960","Haxtun town","2020-04-03",0.527,0.204,0.009,0.006
"08","35070","Hayden town","2020-04-03",0.044,0.044,0.003,0.003
"08","36610","Hillrose town","2020-04-03",0.444,0.23,0.008,0.008
"08","37215","Holly town","2020-04-03",0.079,0.077,0.01,0.01
"08","37270","Holyoke city","2020-04-03",0.452,0.444,0.01,0.01
"08","37380","Hooper town","2020-04-03",0.061,0.061,0,0
"08","37545","Hotchkiss town","2020-04-03",0.223,0.212,0.009,0.004
"08","37600","Hot Sulphur Springs town","2020-04-03",0.166,0.166,0.035,0.035
"08","37820","Hudson town","2020-04-03",0.196,0.129,0.012,0.007
"08","37875","Hugo town","2020-04-03",0.108,0.104,0.016,0.016
"08","38370","Idaho Springs city","2020-04-03",0.13,0.127,0.013,0.012
"08","38535","Ignacio town","2020-04-03",0.098,0.098,0.021,0.021
"08","38590","Iliff town","2020-04-03",0.021,0.021,0,0
"08","39195","Jamestown town","2020-04-03",0.121,0.121,0.013,0.013
"08","39855","Johnstown town","2020-04-03",0.514,0.513,0.016,0.016
"08","39965","Julesburg town","2020-04-03",0.509,0.187,0.017,0.007
"08","40185","Keenesburg town","2020-04-03",0.321,0.175,0.015,0.009
"08","40515","Kersey town","2020-04-03",0.221,0.218,0.01,0.01
"08","40570","Kim town","2020-04-03",0.051,0.051,0.034,0.034
"08","40790","Kiowa town","2020-04-03",0.227,0.221,0.003,0.003
"08","41010","Kit Carson town","2020-04-03",0.071,0.071,0.006,0.006
"08","41560","Kremmling town","2020-04-03",0.106,0.106,0.02,0.02
"08","41835","Lafayette city","2020-04-03",0.589,0.587,0.023,0.023
"08","42055","La Jara town","2020-04-03",0.072,0.072,0.024,0.024
"08","42110","La Junta city","2020-04-03",0.388,0.38,0.011,0.011
"08","42330","Lake City town","2020-04-03",0.057,0.057,0.01,0.01
