state,place,pl_name,county
08,00320,Acres Green CDP,Douglas County
08,00620,Aetna Estates CDP,Arapahoe County
08,00760,Aguilar town,Las Animas County
08,00870,Air Force Academy CDP,El Paso County
08,00925,Akron town,Washington County
08,01090,Alamosa city,Alamosa County
08,01145,Alamosa East CDP,Alamosa County
08,01420,Allenspark CDP,Boulder County
08,01530,Alma town,Park County
08,01640,Alpine CDP,Rio Grande County
08,01740,Altona CDP,Boulder County
08,01915,Amherst CDP,Phillips County
08,02355,Antonito town,Conejos County
08,02575,Applewood CDP,Jefferson County
08,02905,Arboles CDP,Archuleta County
08,03015,Aristocrat Ranchettes CDP,Weld County
08,03235,Arriba town,Lincoln County
08,03455,Arvada city,"Adams County, Jefferson County"
08,03620,Aspen city,Pitkin County
08,03730,Aspen Park CDP,Jefferson County
08,03840,Atwood CDP,Logan County
08,03950,Ault town,Weld County
08,04000,Aurora city,"Adams County, Arapahoe County, Douglas County"
08,04110,Avon town,Eagle County
08,04165,Avondale CDP,Pueblo County
08,04620,Bark Ranch CDP,Boulder County
08,04935,Basalt town,"Eagle County, Pitkin County"
08,05120,Battlement Mesa CDP,Garfield County
08,05265,Bayfield town,La Plata County
08,06090,Bennett town,"Adams County, Arapahoe County"
08,06172,Berkley CDP,Adams County
08,06255,Berthoud town,"Larimer County, Weld County"
08,06530,Bethune town,Kit Carson County
08,06602,Beulah Valley CDP,Pueblo County
08,06970,Black Forest CDP,El Paso County
08,07025,Black Hawk city,Gilpin County
08,07190,Blanca town,Costilla County
08,07245,Blende CDP,Pueblo County
08,07410,Blue River town,Summit County
08,07420,Blue Sky CDP,Morgan County
08,07571,Bonanza town,Saguache County
08,07580,Bonanza Mountain Estates CDP,Boulder County
08,07795,Boone town,Pueblo County
08,07850,Boulder city,Boulder County
08,08070,Bow Mar town,"Arapahoe County, Jefferson County"
08,08290,Brandon CDP,Kiowa County
08,08345,Branson town,Las Animas County
08,08400,Breckenridge town,Summit County
08,08530,Brick Center CDP,Arapahoe County
08,08675,Brighton city,"Adams County, Weld County"
08,09115,Brookside town,Fremont County
08,09280,Broomfield city,Broomfield County
08,09555,Brush city,Morgan County
08,10105,Buena Vista town,Chaffee County
08,10600,Burlington city,Kit Carson County
08,10985,Byers CDP,Arapahoe County
08,11260,Calhan town,El Paso County
08,11645,Campo town,Baca County
08,11810,Cañon City city,Fremont County
08,11975,Capulin CDP,Conejos County
08,12045,Carbondale town,Garfield County
08,12325,Cascade-Chipita Park CDP,El Paso County
08,12387,Castle Pines CDP,Douglas County
08,12390,Castle Pines North city,Douglas County
08,12415,Castle Rock town,Douglas County
08,12450,Cathedral CDP,Hinsdale County
08,12460,Catherine CDP,Garfield County
08,12470,Cattle Creek CDP,Garfield County
08,12635,Cedaredge town,Delta County
08,12815,Centennial city,Arapahoe County
08,12855,Center town,"Rio Grande County, Saguache County"
08,12910,Central City city,"Clear Creek County, Gilpin County"
08,12945,Chacra CDP,Garfield County
08,13460,Cheraw town,Otero County
08,13590,Cherry Creek CDP,Arapahoe County
08,13845,Cherry Hills Village city,Arapahoe County
08,14175,Cheyenne Wells town,Cheyenne County
08,14587,Cimarron Hills CDP,El Paso County
08,14765,City of Creede town,Mineral County
08,15165,Clifton CDP,Mesa County
08,15302,Coal Creek CDP,"Boulder County, Gilpin County, Jefferson County"
08,15330,Coal Creek town,Fremont County
08,15440,Coaldale CDP,Fremont County
08,15550,Cokedale town,Las Animas County
08,15605,Collbran town,Mesa County
08,15825,Colona CDP,Ouray County
08,15935,Colorado City CDP,Pueblo County
08,16000,Colorado Springs city,El Paso County
08,16110,Columbine CDP,"Arapahoe County, Jefferson County"
08,16385,Columbine Valley town,Arapahoe County
08,16465,Comanche Creek CDP,Arapahoe County
08,16495,Commerce City city,Adams County
08,16715,Conejos CDP,Conejos County
08,17150,Copper Mountain CDP,Summit County
08,17375,Cortez city,Montezuma County
08,17485,Cotopaxi CDP,Fremont County
08,17760,Craig city,Moffat County
08,17925,Crawford town,Delta County
08,18310,Crested Butte town,Gunnison County
08,18420,Crestone town,Saguache County
08,18530,Cripple Creek city,Teller County
08,18585,Crisman CDP,Boulder County
08,18640,Crook town,Logan County
08,18750,Crowley town,Crowley County
08,19080,Dacono city,Weld County
08,19150,Dakota Ridge CDP,Jefferson County
08,19355,De Beque town,Mesa County
08,19630,Deer Trail town,Arapahoe County
08,19795,Del Norte town,Rio Grande County
08,19850,Delta city,Delta County
08,20000,Denver city,Denver County
08,20275,Derby CDP,Adams County
08,20440,Dillon town,Summit County
08,20495,Dinosaur town,Moffat County
08,20605,Divide CDP,Teller County
08,20770,Dolores town,Montezuma County
08,21155,Dotsero CDP,Eagle County
08,21265,Dove Creek town,Dolores County
08,21330,Dove Valley CDP,Arapahoe County
08,21390,Downieville-Lawson-Dumont CDP,Clear Creek County
08,22035,Durango city,La Plata County
08,22145,Eads town,Kiowa County
08,22200,Eagle town,Eagle County
08,22575,East Pleasant View CDP,Jefferson County
08,22860,Eaton town,Weld County
08,23025,Eckley town,Yuma County
08,23135,Edgewater city,Jefferson County
08,23300,Edwards CDP,Eagle County
08,23520,Elbert CDP,Elbert County
08,23575,Eldora CDP,Boulder County
08,23630,Eldorado Springs CDP,Boulder County
08,23740,Elizabeth town,Elbert County
08,23795,El Jebel CDP,Eagle County
08,24235,Ellicott CDP,El Paso County
08,24290,El Moro CDP,Las Animas County
08,24620,Empire town,Clear Creek County
08,24785,Englewood city,Arapahoe County
08,24950,Erie town,"Boulder County, Weld County"
08,25115,Estes Park town,Larimer County
08,25280,Evans city,Weld County
08,25390,Evergreen CDP,Jefferson County
08,25550,Fairmount CDP,Jefferson County
08,25610,Fairplay town,Park County
08,26270,Federal Heights city,Adams County
08,26600,Firestone town,Weld County
08,26765,Flagler town,Kit Carson County
08,26875,Fleming town,Logan County
08,27040,Florence city,Fremont County
08,27095,Florissant CDP,Teller County
08,27175,Floyd Hill CDP,Clear Creek County
08,27370,Fort Carson CDP,El Paso County
08,27425,Fort Collins city,Larimer County
08,27535,Fort Garland CDP,Costilla County
